Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Stephen Curry,GSW,vs.TOR,01/10/2021,W,38,11,2,16,12.5,1,10,10.0,6,6,100,3,6,9,6,0,0,5,3,7
Draymond Green,GSW,vs.TOR,01/10/2021,W,29,10,3,8,37.5,2,5,40.0,2,3,66.7,1,8,9,10,0,1,3,1,-3
Kelly Oubre Jr.,GSW,vs.TOR,01/10/2021,W,29,12,5,14,35.7,1,6,16.7,1,1,100,3,3,6,3,0,1,1,1,-4
Kevon Looney,GSW,vs.TOR,01/10/2021,W,14,2,1,1,100,0,0,-,0,0,-,2,1,3,0,0,1,0,0,5
Mychal Mulder,GSW,vs.TOR,01/10/2021,W,11,0,0,1,0.0,0,1,0.0,0,0,-,0,3,3,0,0,0,1,1,5
James Wiseman,GSW,vs.TOR,01/10/2021,W,17,10,5,7,71.4,0,1,0.0,0,0,-,0,7,7,0,0,0,0,2,-2
Norman Powell,TOR,@GSW,01/10/2021,L,22,9,3,8,37.5,1,3,33.3,2,2,100,0,3,3,0,1,0,3,3,-10
Fred VanVleet,TOR,@GSW,01/10/2021,L,39,21,9,20,45.0,3,10,30.0,0,0,-,2,3,5,5,0,1,1,3,1
OG Anunoby,TOR,@GSW,01/10/2021,L,37,10,4,12,33.3,2,6,33.3,0,0,-,2,4,6,1,2,1,1,0,0
Yuta Watanabe,TOR,@GSW,01/10/2021,L,9,2,1,3,33.3,0,1,0.0,0,0,-,0,2,2,1,0,2,2,2,-7
Malachi Flynn,TOR,@GSW,01/10/2021,L,13,0,0,3,0.0,0,1,0.0,0,0,-,0,1,1,3,0,0,0,1,-5
Kyle Lowry,TOR,@GSW,01/10/2021,L,34,17,5,14,35.7,3,8,37.5,4,7,57.1,1,8,9,6,1,0,1,4,0
Brad Wanamaker,GSW,vs.TOR,01/10/2021,W,13,7,2,5,40.0,1,3,33.3,2,2,100,2,1,3,2,1,0,0,3,-4
Kent Bazemore,GSW,vs.TOR,01/10/2021,W,21,9,4,7,57.1,1,2,50.0,0,0,-,0,5,5,3,0,3,2,1,7
Andrew Wiggins,GSW,vs.TOR,01/10/2021,W,34,17,7,17,41.2,3,10,30.0,0,0,-,0,2,2,4,0,4,3,2,-8
Stanley Johnson,TOR,@GSW,01/10/2021,L,9,3,1,1,100,0,0,-,1,2,50.0,0,3,3,1,2,0,0,1,10
Pascal Siakam,TOR,@GSW,01/10/2021,L,40,25,9,19,47.4,2,4,50.0,5,9,55.6,5,6,11,3,0,0,2,2,7
Eric Paschall,GSW,vs.TOR,01/10/2021,W,19,15,5,10,50.0,1,2,50.0,4,5,80.0,1,1,2,1,0,0,0,3,4
Terence Davis,TOR,@GSW,01/10/2021,L,12,3,1,6,16.7,0,2,0.0,1,1,100,0,2,2,0,1,0,0,0,-6
Chris Boucher,TOR,@GSW,01/10/2021,L,24,15,6,10,60.0,2,3,66.7,1,1,100,3,3,6,0,1,6,0,6,5
Damion Lee,GSW,vs.TOR,01/10/2021,W,15,13,4,7,57.1,3,6,50.0,2,2,100,0,2,2,1,1,0,0,1,-2
Patty Mills,SAS,@MIN,01/10/2021,L,29,18,7,19,36.8,3,13,23.1,1,1,100,0,2,2,4,0,0,2,2,-4
Rudy Gay,SAS,@MIN,01/10/2021,L,18,4,2,6,33.3,0,1,0.0,0,0,-,3,4,7,1,0,1,2,1,-1
LaMarcus Aldridge,SAS,@MIN,01/10/2021,L,37,20,9,21,42.9,1,3,33.3,1,1,100,2,7,9,4,1,0,2,2,-6
Anthony Edwards,MIN,vs.SAS,01/10/2021,W,18,0,0,8,0.0,0,2,0.0,0,0,-,3,3,6,1,0,0,2,1,-1
Naz Reid,MIN,vs.SAS,01/10/2021,W,29,11,3,7,42.9,1,4,25.0,4,4,100,1,6,7,1,0,1,3,3,1
Jarrett Culver,MIN,vs.SAS,01/10/2021,W,20,2,1,5,20.0,0,1,0.0,0,0,-,0,3,3,4,0,1,2,1,8
Ricky Rubio,MIN,vs.SAS,01/10/2021,W,22,8,2,5,40.0,0,1,0.0,4,4,100,0,2,2,6,3,0,0,1,4
Ed Davis,MIN,vs.SAS,01/10/2021,W,18,6,3,3,100,0,0,-,0,0,-,2,4,6,0,2,0,0,3,9
D'Angelo Russell,MIN,vs.SAS,01/10/2021,W,31,27,9,21,42.9,4,7,57.1,5,6,83.3,0,5,5,5,1,0,4,2,1
Malik Beasley,MIN,vs.SAS,01/10/2021,W,35,24,9,18,50.0,3,6,50.0,3,3,100,0,3,3,0,0,0,0,0,13
Juancho Hernangomez,MIN,vs.SAS,01/10/2021,W,27,7,2,5,40.0,1,3,33.3,2,2,100,2,6,8,2,0,0,0,2,16
Josh Okogie,MIN,vs.SAS,01/10/2021,W,20,6,3,5,60.0,0,2,0.0,0,2,0.0,0,4,4,0,0,1,1,2,7
Jarred Vanderbilt,MIN,vs.SAS,01/10/2021,W,19,5,2,4,50.0,0,0,-,1,2,50.0,1,7,8,0,0,0,1,2,-1
Trey Lyles,SAS,@MIN,01/10/2021,L,35,5,2,4,50.0,0,1,0.0,1,2,50.0,3,7,10,2,0,0,0,1,9
Dejounte Murray,SAS,@MIN,01/10/2021,L,36,11,5,15,33.3,1,3,33.3,0,0,-,1,3,4,5,0,0,0,4,3
Jakob Poeltl,SAS,@MIN,01/10/2021,L,11,2,1,2,50.0,0,0,-,0,2,0.0,0,1,1,0,0,0,0,2,-3
