Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Mike Miller,DEN,@OKC,04/12/2017,W,28,0,0,3,0.0,0,3,0.0,0,0,-,1,7,8,4,0,0,1,0,-4
Victor Oladipo,OKC,vs.DEN,04/12/2017,L,25,10,4,9,44.4,1,2,50.0,1,2,50.0,0,3,3,3,1,1,3,0,-1
Taj Gibson,OKC,vs.DEN,04/12/2017,L,22,13,4,11,36.4,0,0,-,5,6,83.3,3,4,7,0,0,2,1,2,-12
Mason Plumlee,DEN,@OKC,04/12/2017,W,33,16,6,10,60.0,0,0,-,4,6,66.7,1,4,5,0,0,1,3,5,8
Josh Huestis,OKC,vs.DEN,04/12/2017,L,24,7,3,7,42.9,1,2,50.0,0,1,0.0,2,3,5,2,0,3,0,0,5
Jerami Grant,OKC,vs.DEN,04/12/2017,L,17,13,5,6,83.3,1,1,100,2,2,100,0,4,4,1,1,0,0,1,4
Alex Abrines,OKC,vs.DEN,04/12/2017,L,18,11,4,11,36.4,3,6,50.0,0,0,-,3,3,6,1,0,0,1,1,0
Steven Adams,OKC,vs.DEN,04/12/2017,L,14,8,4,7,57.1,0,0,-,0,0,-,2,2,4,0,2,0,1,2,-7
Enes Kanter,OKC,vs.DEN,04/12/2017,L,20,12,6,8,75.0,0,0,-,0,0,-,2,3,5,1,1,0,2,2,8
Nick Collison,OKC,vs.DEN,04/12/2017,L,9,6,3,5,60.0,0,1,0.0,0,0,-,2,0,2,1,0,0,0,1,-3
Jamal Murray,DEN,@OKC,04/12/2017,W,41,27,10,17,58.8,4,5,80.0,3,3,100,0,2,2,6,0,1,3,1,0
Malik Beasley,DEN,@OKC,04/12/2017,W,40,17,8,17,47.1,1,4,25.0,0,0,-,1,2,3,3,1,0,2,2,19
Nikola Jokic,DEN,@OKC,04/12/2017,W,40,29,9,14,64.3,0,0,-,11,14,78.6,2,14,16,8,1,5,4,4,9
Kyle Singler,OKC,vs.DEN,04/12/2017,L,26,8,3,6,50.0,0,2,0.0,2,4,50.0,0,6,6,1,1,1,0,1,-16
Juancho Hernangomez,DEN,@OKC,04/12/2017,W,35,9,4,17,23.5,1,9,11.1,0,0,-,0,7,7,1,0,0,1,3,3
Norris Cole,OKC,vs.DEN,04/12/2017,L,15,5,2,9,22.2,0,2,0.0,1,2,50.0,0,2,2,0,2,0,0,2,-3
Russell Westbrook,OKC,vs.DEN,04/12/2017,L,18,5,2,10,20.0,1,5,20.0,0,0,-,0,5,5,8,0,1,3,2,-5
Semaj Christon,OKC,vs.DEN,04/12/2017,L,18,5,2,4,50.0,1,2,50.0,0,0,-,0,0,0,2,0,0,0,4,2
Domantas Sabonis,OKC,vs.DEN,04/12/2017,L,14,2,1,8,12.5,0,2,0.0,0,0,-,0,2,2,0,2,0,1,6,-2
Darrell Arthur,DEN,@OKC,04/12/2017,W,23,13,2,7,28.6,1,4,25.0,8,9,88.9,0,2,2,0,4,1,1,2,-5
Jarrod Uthoff,DAL,@MEM,04/12/2017,W,19,11,4,6,66.7,0,1,0.0,3,4,75.0,0,1,1,1,0,1,0,0,15
Deyonta Davis,MEM,vs.DAL,04/12/2017,L,9,0,0,1,0.0,0,0,-,0,0,-,2,1,3,0,0,0,0,3,-9
Dorian Finney-Smith,DAL,@MEM,04/12/2017,W,31,7,3,9,33.3,1,5,20.0,0,0,-,0,5,5,5,1,0,1,2,2
Nicolas Brussino,DAL,@MEM,04/12/2017,W,37,15,4,8,50.0,4,8,50.0,3,3,100,2,6,8,2,2,0,3,2,6
Wayne Selden,MEM,vs.DAL,04/12/2017,L,31,10,4,7,57.1,2,3,66.7,0,0,-,0,1,1,1,0,0,1,3,-12
Dwight Powell,DAL,@MEM,04/12/2017,W,34,12,2,11,18.2,2,9,22.2,6,6,100,1,2,3,0,1,0,2,4,-6
JaMychal Green,MEM,vs.DAL,04/12/2017,L,21,3,1,2,50.0,1,2,50.0,0,0,-,0,5,5,1,0,0,0,2,-1
Wade Baldwin IV,MEM,vs.DAL,04/12/2017,L,18,9,3,8,37.5,0,1,0.0,3,3,100,1,3,4,0,2,0,4,2,-13
Salah Mejri,DAL,@MEM,04/12/2017,W,12,6,2,2,100,1,1,100,1,2,50.0,1,1,2,0,0,0,0,3,5
Nerlens Noel,DAL,@MEM,04/12/2017,W,23,10,4,8,50.0,0,0,-,2,2,100,1,6,7,0,1,1,2,0,-11
Marc Gasol,MEM,vs.DAL,04/12/2017,L,24,13,5,13,38.5,1,2,50.0,2,2,100,0,8,8,4,0,2,2,1,9
Brandan Wright,MEM,vs.DAL,04/12/2017,L,16,4,1,3,33.3,0,0,-,2,2,100,3,1,4,1,0,1,0,1,1
Zach Randolph,MEM,vs.DAL,04/12/2017,L,20,15,7,14,50.0,0,1,0.0,1,1,100,1,4,5,2,0,0,2,2,-5
Tony Allen,MEM,vs.DAL,04/12/2017,L,6,4,2,4,50.0,0,0,-,0,0,-,2,0,2,0,0,0,0,0,6
Yogi Ferrell,DAL,@MEM,04/12/2017,W,28,7,2,9,22.2,1,4,25.0,2,3,66.7,0,1,1,5,1,1,2,3,-5
AJ Hammons,DAL,@MEM,04/12/2017,W,12,9,3,4,75.0,0,0,-,3,4,75.0,0,1,1,0,0,2,1,2,11
Mike Conley,MEM,vs.DAL,04/12/2017,L,17,15,5,9,55.6,2,5,40.0,3,4,75.0,0,2,2,2,1,0,0,0,11
DeAndre Liggins,DAL,@MEM,04/12/2017,W,25,8,3,6,50.0,0,1,0.0,2,3,66.7,3,4,7,0,2,0,0,3,7
Troy Daniels,MEM,vs.DAL,04/12/2017,L,24,3,1,9,11.1,1,4,25.0,0,0,-,1,1,2,2,0,0,3,3,-7
Devin Harris,DAL,@MEM,04/12/2017,W,20,15,6,12,50.0,0,5,0.0,3,4,75.0,0,2,2,8,1,0,1,0,11
Andrew Harrison,MEM,vs.DAL,04/12/2017,L,25,8,2,6,33.3,0,3,0.0,4,6,66.7,1,3,4,1,1,2,0,4,-13
Jarell Martin,MEM,vs.DAL,04/12/2017,L,6,4,1,4,25.0,0,0,-,2,2,100,5,1,6,0,0,0,1,0,-9
Vince Carter,MEM,vs.DAL,04/12/2017,L,22,5,1,4,25.0,1,4,25.0,2,2,100,0,2,2,4,0,0,1,2,7
Paul George,IND,vs.ATL,04/12/2017,W,40,32,12,21,57.1,5,10,50.0,3,3,100,0,11,11,3,1,0,1,3,15
Taurean Prince,ATL,@IND,04/12/2017,L,25,11,4,8,50.0,1,3,33.3,2,3,66.7,0,2,2,2,1,0,1,4,-4
Malcolm Delaney,ATL,@IND,04/12/2017,L,26,10,2,7,28.6,1,3,33.3,5,5,100,0,2,2,5,2,0,3,2,-13
CJ Miles,IND,vs.ATL,04/12/2017,W,21,9,3,8,37.5,3,7,42.9,0,0,-,0,2,2,1,0,0,0,1,-1
Ersan Ilyasova,ATL,@IND,04/12/2017,L,18,15,6,10,60.0,1,3,33.3,2,2,100,0,3,3,2,1,0,3,2,-2
