Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Jordan Crawford,NOP,vs.SAS,04/11/2018,W,3,2,1,2,50.0,0,0,-,0,0,-,0,1,1,1,0,0,0,0,1
Charles Cooke,NOP,vs.SAS,04/11/2018,W,1,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,2
Solomon Hill,NOP,vs.SAS,04/11/2018,W,19,2,1,3,33.3,0,0,-,0,0,-,2,3,5,1,0,0,1,2,6
Darius Miller,NOP,vs.SAS,04/11/2018,W,21,7,2,3,66.7,0,1,0.0,3,3,100,0,4,4,1,0,0,0,2,5
Pau Gasol,SAS,@NOP,04/11/2018,L,14,6,2,4,50.0,0,0,-,2,2,100,1,6,7,4,0,0,0,3,-2
Davis Bertans,SAS,@NOP,04/11/2018,L,11,4,2,4,50.0,0,2,0.0,0,0,-,0,2,2,0,0,0,1,2,-6
Tony Parker,SAS,@NOP,04/11/2018,L,20,11,5,10,50.0,0,0,-,1,2,50.0,1,1,2,1,0,0,2,1,-10
Anthony Davis,NOP,vs.SAS,04/11/2018,W,35,22,8,18,44.4,0,1,0.0,6,12,50.0,4,11,15,1,3,4,5,2,14
Ian Clark,NOP,vs.SAS,04/11/2018,W,28,11,5,10,50.0,1,3,33.3,0,0,-,0,2,2,2,1,0,0,2,7
Brandon Paul,SAS,@NOP,04/11/2018,L,16,10,4,6,66.7,1,2,50.0,1,2,50.0,0,1,1,0,0,0,1,0,-9
Nikola Mirotic,NOP,vs.SAS,04/11/2018,W,34,21,9,15,60.0,2,7,28.6,1,1,100,2,13,15,1,1,1,3,2,21
Cheick Diallo,NOP,vs.SAS,04/11/2018,W,4,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,2
Danny Green,SAS,@NOP,04/11/2018,L,20,8,3,5,60.0,2,4,50.0,0,0,-,0,4,4,2,2,0,3,2,-8
Joffrey Lauvergne,SAS,@NOP,04/11/2018,L,9,3,1,4,25.0,0,0,-,1,2,50.0,1,0,1,3,0,0,0,0,-7
LaMarcus Aldridge,SAS,@NOP,04/11/2018,L,23,11,5,12,41.7,0,0,-,1,1,100,3,2,5,0,1,0,1,2,-16
Kyle Anderson,SAS,@NOP,04/11/2018,L,18,10,4,7,57.1,1,1,100,1,1,100,0,0,0,2,2,0,0,1,-11
Patty Mills,SAS,@NOP,04/11/2018,L,21,0,0,4,0.0,0,3,0.0,0,0,-,0,0,0,2,0,0,3,0,-18
E'Twaun Moore,NOP,vs.SAS,04/11/2018,W,25,13,5,7,71.4,1,2,50.0,2,2,100,0,0,0,1,1,0,1,3,19
Rudy Gay,SAS,@NOP,04/11/2018,L,24,8,3,10,30.0,1,3,33.3,1,1,100,3,4,7,2,1,0,3,1,-6
Manu Ginobili,SAS,@NOP,04/11/2018,L,12,6,2,7,28.6,1,4,25.0,1,1,100,0,2,2,3,0,0,3,3,-7
Rajon Rondo,NOP,vs.SAS,04/11/2018,W,32,19,9,13,69.2,1,2,50.0,0,0,-,1,4,5,14,4,0,3,3,23
DeAndre Liggins,NOP,vs.SAS,04/11/2018,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,1,5
Jrue Holiday,NOP,vs.SAS,04/11/2018,W,34,23,11,15,73.3,0,2,0.0,1,1,100,2,1,3,7,1,0,6,3,15
Bryn Forbes,SAS,@NOP,04/11/2018,L,24,10,3,9,33.3,2,5,40.0,2,2,100,1,0,1,0,1,0,0,1,-6
Dejounte Murray,SAS,@NOP,04/11/2018,L,29,11,3,10,30.0,0,0,-,5,5,100,2,4,6,3,2,1,0,1,-14
Nick Collison,OKC,vs.MEM,04/11/2018,W,2,1,0,0,-,0,0,-,1,5,20.0,1,0,1,0,0,0,0,0,-5
Carmelo Anthony,OKC,vs.MEM,04/11/2018,W,23,10,4,10,40.0,1,5,20.0,1,1,100,0,3,3,2,1,0,1,5,5
Josh Huestis,OKC,vs.MEM,04/11/2018,W,2,3,1,2,50.0,1,2,50.0,0,0,-,0,0,0,0,0,0,0,0,-3
Russell Westbrook,OKC,vs.MEM,04/11/2018,W,37,6,2,9,22.2,0,2,0.0,2,3,66.7,3,17,20,19,2,0,5,0,17
Terrance Ferguson,OKC,vs.MEM,04/11/2018,W,26,12,4,8,50.0,4,8,50.0,0,0,-,0,2,2,2,1,0,0,3,9
Jerami Grant,OKC,vs.MEM,04/11/2018,W,22,12,3,4,75.0,0,1,0.0,6,6,100,0,2,2,2,0,2,0,3,11
Raymond Felton,OKC,vs.MEM,04/11/2018,W,12,9,3,5,60.0,3,4,75.0,0,0,-,0,1,1,1,0,0,2,0,-1
Kobi Simmons,MEM,@OKC,04/11/2018,L,33,15,4,12,33.3,1,4,25.0,6,6,100,0,1,1,5,0,0,2,3,-9
Steven Adams,OKC,vs.MEM,04/11/2018,W,36,24,9,12,75.0,0,0,-,6,7,85.7,1,6,7,0,1,0,2,2,17
Mario Chalmers,MEM,@OKC,04/11/2018,L,20,13,4,8,50.0,2,6,33.3,3,3,100,0,0,0,1,1,1,2,2,-4
Corey Brewer,OKC,vs.MEM,04/11/2018,W,31,17,7,13,53.8,2,5,40.0,1,2,50.0,2,1,3,1,1,0,1,3,10
Ben McLemore,MEM,@OKC,04/11/2018,L,32,14,4,8,50.0,2,5,40.0,4,4,100,1,3,4,3,0,0,1,3,-22
