Date,Player,Team,Match-up,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
2021-01-10,Stephen Curry,GSW,vs.TOR,W,38,11,2,16,12.5,1,10,10.0,6,6,100,3,6,9,6,0,0,5,3,7,2020-21
2021-01-10,Draymond Green,GSW,vs.TOR,W,29,10,3,8,37.5,2,5,40.0,2,3,66.7,1,8,9,10,0,1,3,1,-3,2020-21
2021-01-10,Kelly Oubre Jr.,GSW,vs.TOR,W,29,12,5,14,35.7,1,6,16.7,1,1,100,3,3,6,3,0,1,1,1,-4,2020-21
2021-01-10,Kevon Looney,GSW,vs.TOR,W,14,2,1,1,100,0,0,-,0,0,-,2,1,3,0,0,1,0,0,5,2020-21
2021-01-10,Eric Paschall,GSW,vs.TOR,W,19,15,5,10,50.0,1,2,50.0,4,5,80.0,1,1,2,1,0,0,0,3,4,2020-21
2021-01-10,Terence Davis,TOR,@GSW,L,12,3,1,6,16.7,0,2,0.0,1,1,100,0,2,2,0,1,0,0,0,-6,2020-21
2021-01-10,Chris Boucher,TOR,@GSW,L,24,15,6,10,60.0,2,3,66.7,1,1,100,3,3,6,0,1,6,0,6,5,2020-21
2021-01-10,Damion Lee,GSW,vs.TOR,W,15,13,4,7,57.1,3,6,50.0,2,2,100,0,2,2,1,1,0,0,1,-2,2020-21
2021-01-10,Pascal Siakam,TOR,@GSW,L,40,25,9,19,47.4,2,4,50.0,5,9,55.6,5,6,11,3,0,0,2,2,7,2020-21
2021-01-10,Stanley Johnson,TOR,@GSW,L,9,3,1,1,100,0,0,-,1,2,50.0,0,3,3,1,2,0,0,1,10,2020-21
2021-01-10,Andrew Wiggins,GSW,vs.TOR,W,34,17,7,17,41.2,3,10,30.0,0,0,-,0,2,2,4,0,4,3,2,-8,2020-21
2021-01-10,Kent Bazemore,GSW,vs.TOR,W,21,9,4,7,57.1,1,2,50.0,0,0,-,0,5,5,3,0,3,2,1,7,2020-21
2021-01-10,Brad Wanamaker,GSW,vs.TOR,W,13,7,2,5,40.0,1,3,33.3,2,2,100,2,1,3,2,1,0,0,3,-4,2020-21
2021-01-10,Kyle Lowry,TOR,@GSW,L,34,17,5,14,35.7,3,8,37.5,4,7,57.1,1,8,9,6,1,0,1,4,0,2020-21
2021-01-10,Malachi Flynn,TOR,@GSW,L,13,0,0,3,0.0,0,1,0.0,0,0,-,0,1,1,3,0,0,0,1,-5,2020-21
2021-01-10,Yuta Watanabe,TOR,@GSW,L,9,2,1,3,33.3,0,1,0.0,0,0,-,0,2,2,1,0,2,2,2,-7,2020-21
2021-01-10,OG Anunoby,TOR,@GSW,L,37,10,4,12,33.3,2,6,33.3,0,0,-,2,4,6,1,2,1,1,0,0,2020-21
2021-01-10,Fred VanVleet,TOR,@GSW,L,39,21,9,20,45.0,3,10,30.0,0,0,-,2,3,5,5,0,1,1,3,1,2020-21
2021-01-10,Norman Powell,TOR,@GSW,L,22,9,3,8,37.5,1,3,33.3,2,2,100,0,3,3,0,1,0,3,3,-10,2020-21
2021-01-10,James Wiseman,GSW,vs.TOR,W,17,10,5,7,71.4,0,1,0.0,0,0,-,0,7,7,0,0,0,0,2,-2,2020-21
2021-01-10,Mychal Mulder,GSW,vs.TOR,W,11,0,0,1,0.0,0,1,0.0,0,0,-,0,3,3,0,0,0,1,1,5,2020-21
2021-01-10,Ricky Rubio,MIN,vs.SAS,W,22,8,2,5,40.0,0,1,0.0,4,4,100,0,2,2,6,3,0,0,1,4,2020-21
2021-01-10,Ed Davis,MIN,vs.SAS,W,18,6,3,3,100,0,0,-,0,0,-,2,4,6,0,2,0,0,3,9,2020-21
2021-01-10,D'Angelo Russell,MIN,vs.SAS,W,31,27,9,21,42.9,4,7,57.1,5,6,83.3,0,5,5,5,1,0,4,2,1,2020-21
2021-01-10,Devin Vassell,SAS,@MIN,L,10,0,0,2,0.0,0,0,-,0,0,-,0,2,2,0,1,0,0,0,-3,2020-21
2021-01-10,Keldon Johnson,SAS,@MIN,L,34,3,1,6,16.7,0,2,0.0,1,2,50.0,0,7,7,1,1,3,2,4,-17,2020-21
2021-01-10,Lonnie Walker IV,SAS,@MIN,L,30,25,9,19,47.4,3,7,42.9,4,6,66.7,0,3,3,4,1,1,2,0,-4,2020-21
2021-01-10,Jakob Poeltl,SAS,@MIN,L,11,2,1,2,50.0,0,0,-,0,2,0.0,0,1,1,0,0,0,0,2,-3,2020-21
2021-01-10,Dejounte Murray,SAS,@MIN,L,36,11,5,15,33.3,1,3,33.3,0,0,-,1,3,4,5,0,0,0,4,3,2020-21
2021-01-10,Malik Beasley,MIN,vs.SAS,W,35,24,9,18,50.0,3,6,50.0,3,3,100,0,3,3,0,0,0,0,0,13,2020-21
2021-01-10,Juancho Hernangomez,MIN,vs.SAS,W,27,7,2,5,40.0,1,3,33.3,2,2,100,2,6,8,2,0,0,0,2,16,2020-21
2021-01-10,Josh Okogie,MIN,vs.SAS,W,20,6,3,5,60.0,0,2,0.0,0,2,0.0,0,4,4,0,0,1,1,2,7,2020-21
2021-01-10,Jarred Vanderbilt,MIN,vs.SAS,W,19,5,2,4,50.0,0,0,-,1,2,50.0,1,7,8,0,0,0,1,2,-1,2020-21
2021-01-10,Jarrett Culver,MIN,vs.SAS,W,20,2,1,5,20.0,0,1,0.0,0,0,-,0,3,3,4,0,1,2,1,8,2020-21
2021-01-10,Trey Lyles,SAS,@MIN,L,35,5,2,4,50.0,0,1,0.0,1,2,50.0,3,7,10,2,0,0,0,1,9,2020-21
2021-01-10,Patty Mills,SAS,@MIN,L,29,18,7,19,36.8,3,13,23.1,1,1,100,0,2,2,4,0,0,2,2,-4,2020-21
2021-01-10,Rudy Gay,SAS,@MIN,L,18,4,2,6,33.3,0,1,0.0,0,0,-,3,4,7,1,0,1,2,1,-1,2020-21
2021-01-10,LaMarcus Aldridge,SAS,@MIN,L,37,20,9,21,42.9,1,3,33.3,1,1,100,2,7,9,4,1,0,2,2,-6,2020-21
2021-01-10,Anthony Edwards,MIN,vs.SAS,W,18,0,0,8,0.0,0,2,0.0,0,0,-,3,3,6,1,0,0,2,1,-1,2020-21
2021-01-10,Naz Reid,MIN,vs.SAS,W,29,11,3,7,42.9,1,4,25.0,4,4,100,1,6,7,1,0,1,3,3,1,2020-21
2021-01-10,P.J. Tucker,HOU,vs.LAL,L,30,4,1,4,25.0,1,4,25.0,1,1,100,0,1,1,0,2,1,1,3,-18,2020-21
2021-01-10,James Harden,HOU,vs.LAL,L,38,20,7,14,50.0,2,8,25.0,4,5,80.0,1,5,6,9,0,2,7,2,-11,2020-21
2021-01-10,DeMarcus Cousins,HOU,vs.LAL,L,8,6,2,5,40.0,2,4,50.0,0,0,-,1,3,4,0,1,0,1,1,6,2020-21
2021-01-10,David Nwaba,HOU,vs.LAL,L,17,6,2,6,33.3,1,3,33.3,1,2,50.0,0,1,1,1,1,1,0,3,-15,2020-21
2021-01-10,Markieff Morris,LAL,@HOU,W,3,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,1,-5,2020-21
2021-01-10,Kenyon Martin Jr.,HOU,vs.LAL,L,3,0,0,3,0.0,0,0,-,0,0,-,2,0,2,1,0,0,0,0,0,2020-21
2021-01-10,Jae'Sean Tate,HOU,vs.LAL,L,20,9,3,4,75.0,0,0,-,3,4,75.0,3,3,6,1,2,1,1,2,-3,2020-21
2021-01-10,Kyle Kuzma,LAL,@HOU,W,24,13,5,12,41.7,3,8,37.5,0,0,-,0,2,2,1,0,1,3,0,-4,2020-21
2021-01-10,Alex Caruso,LAL,@HOU,W,22,3,1,5,20.0,0,1,0.0,1,2,50.0,2,2,4,4,3,0,0,1,3,2020-21
2021-01-10,Christian Wood,HOU,vs.LAL,L,32,23,10,20,50.0,1,5,20.0,2,3,66.7,1,2,3,1,0,1,1,4,-21,2020-21
2021-01-10,Montrezl Harrell,LAL,@HOU,W,23,16,7,11,63.6,0,0,-,2,2,100,2,6,8,0,1,1,2,3,15,2020-21
2021-01-10,Dennis Schroder,LAL,@HOU,W,35,8,3,10,30.0,1,3,33.3,1,2,50.0,0,5,5,7,2,2,0,2,17,2020-21
2021-01-10,Sterling Brown,HOU,vs.LAL,L,13,5,2,6,33.3,1,4,25.0,0,0,-,2,1,3,2,0,0,0,0,8,2020-21
2021-01-10,LeBron James,LAL,@HOU,W,30,18,7,15,46.7,1,6,16.7,3,6,50.0,1,6,7,7,1,1,2,2,10,2020-21
2021-01-10,Marc Gasol,LAL,@HOU,W,25,6,2,6,33.3,1,2,50.0,1,1,100,0,7,7,2,0,0,2,5,3,2020-21
2021-01-10,Kentavious Caldwell-Pope,LAL,@HOU,W,22,7,3,9,33.3,1,4,25.0,0,0,-,1,3,4,3,2,0,2,1,14,2020-21
2021-01-10,Quinn Cook,LAL,@HOU,W,3,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,0,2020-21
2021-01-10,Alfonzo McKinnie,LAL,@HOU,W,3,2,1,2,50.0,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,2020-21
2021-01-10,Ben McLemore,HOU,vs.LAL,L,17,6,2,6,33.3,2,6,33.3,0,0,-,0,1,1,1,0,0,2,2,-10,2020-21
2021-01-10,Anthony Davis,LAL,@HOU,W,30,27,9,12,75.0,0,1,0.0,9,10,90.0,1,3,4,1,0,3,2,4,29,2020-21
