,PLAYER  ,POS  ,DK_proj,Pts_proj,Reb_proj,Ast_proj,MSE_DK,MSE_Pts,MSE_Reb,MSE_Ast,Salary,Cost_per_point
0,Damian Lillard,PG,44.47,25.78,4.47,6.35,271.65,139.91,5.4,8.79,9900.0,222.62
1,Luka Doncic,SF,48.21,40.44,18.03,6.34,367.9,83.95,50.73,17.46,11000.0,228.17
2,Trae Young,PG,31.99,23.45,3.85,6.61,579.31,239.9,3.71,18.0,9400.0,293.84
3,Giannis Antetokounmpo,PF,56.29,25.68,10.85,6.36,169.49,73.3,23.3,7.72,10400.0,184.76
4,LeBron James,SF,54.8,28.74,7.57,8.69,94.75,42.23,9.22,10.28,9700.0,177.01
5,Nikola Vucevic,C,29.36,26.81,11.68,2.44,103.41,74.41,22.6,3.54,,
6,DeMar DeRozan,SG,38.31,21.86,5.81,5.07,80.62,55.96,4.39,6.82,8900.0,232.32
7,Anthony Davis,PF,55.91,28.21,11.57,3.45,211.6,88.55,12.54,2.81,9300.0,166.34
8,James Harden,SG,60.38,31.92,7.23,8.51,240.48,118.83,9.62,9.23,10800.0,178.87
9,Julius Randle,PF,32.41,20.2,7.98,3.24,167.04,87.03,14.6,5.33,,
10,Bam Adebayo,PF,46.93,27.28,3.92,7.3,247.07,79.27,27.02,13.08,8800.0,187.51
11,Zach LaVine,SG,28.37,7.83,4.95,3.84,264.22,151.61,5.32,7.21,9500.0,334.86
12,Devin Booker,SG,39.92,24.12,4.28,5.44,127.6,69.1,4.44,7.91,,
13,Chris Paul,PG,41.8,19.15,4.56,8.64,73.04,35.9,4.33,6.88,,
14,Ja Morant,PG,31.98,17.51,3.09,5.68,232.96,85.93,10.97,7.34,,
15,Khris Middleton,SF,35.4,29.5,6.04,3.57,157.54,149.73,8.92,5.58,8000.0,225.99
16,Kyle Lowry,PG,34.83,13.88,5.06,6.96,115.2,48.58,7.6,8.23,7700.0,221.07
17,Jrue Holiday,PG,47.89,24.17,5.46,7.21,122.72,51.25,3.23,6.71,7200.0,150.34
18,Pascal Siakam,PF,22.82,12.65,3.29,4.19,213.88,110.92,17.21,8.42,8400.0,368.1
19,Jerami Grant,SF,64.44,29.740000000000002,3.67,0.8,141.18,71.82,5.46,2.27,8200.0,127.25
20,LaMarcus Aldridge,PF,33.41,17.47,7.68,1.79,157.31,70.65,11.91,2.61,6400.0,191.56
21,Aaron Gordon,SF,28.99,14.95,6.8,2.0,126.01,39.81,11.29,7.12,,
22,John Collins,PF,21.1,1.54,11.5,1.85,222.45,76.73,15.42,1.85,7200.0,341.23
23,Coby White,PG,16.18,1.36,5.01,4.84,231.43,108.14,9.19,18.37,7600.0,469.72
24,Deandre Ayton,C,34.01,15.45,-2.5999999999999996,1.68,90.91,41.02,20.14,1.6,,
25,RJ Barrett,SF,26.23,1.9699999999999989,5.24,3.76,122.94,88.15,11.72,1.7,,
26,Andrew Wiggins,SF,32.4,19.52,4.64,-0.3599999999999999,145.13,48.65,6.48,14.81,6600.0,203.7
27,Tyler Herro,SG,33.24,18.51,4.76,-1.3499999999999996,234.33,113.59,18.68,11.09,7300.0,219.61
28,Terrence Ross,SF,19.75,9.68,3.45,0.53,88.39,102.15,3.23,1.15,,
29,Derrick Rose,PG,34.71,18.23,2.92,4.52,154.92,48.3,3.48,7.06,5500.0,158.46
30,Lauri Markkanen,PF,25.56,13.6,5.28,1.2,85.8,36.84,11.26,1.54,6700.0,262.13
31,Draymond Green,PF,36.85,11.08,7.21,7.34,186.17,22.25,12.73,10.25,5200.0,141.11
32,Mikal Bridges,SF,21.58,11.51,4.74,1.96,133.07,63.36,6.1,1.32,,
33,Dennis Schroder,PG,34.54,20.33,3.38,2.05,72.39,35.3,4.29,8.92,6400.0,185.29
34,Goran Dragic,PG,27.62,7.82,4.83,5.59,213.63,83.82,3.32,6.62,6100.0,220.85
35,Elfrid Payton,PG,27.7,12.37,3.69,5.33,120.32,32.67,5.9,10.98,,
36,Dillon Brooks,SF,27.91,18.66,2.74,1.79,97.65,58.19,3.49,3.22,,
37,Carmelo Anthony,SF,34.96,18.94,7.41,2.2199999999999998,190.7,91.86,10.28,6.3,4400.0,125.86
38,Robert Covington,SF,30.75,13.08,5.83,1.68,79.06,33.51,9.79,1.22,5300.0,172.36
39,Wendell Carter Jr.,PF,33.14,12.91,11.79,1.69,113.47,29.23,16.34,2.05,6500.0,196.14
40,DeAndre Jordan,C,23.02,8.35,13.05,1.61,185.65,25.31,37.85,2.33,4800.0,208.51
41,Kevin Huerter,SG,23.26,11.31,3.33,3.74,78.35,27.37,4.23,6.24,5700.0,245.06
42,Jae Crowder,SF,28.81,14.2,6.16,2.32,114.67,42.93,8.1,2.83,,
43,Duncan Robinson,SF,33.79,20.21,4.13,2.99,113.58,66.92,2.94,1.5,5900.0,174.61
44,Cam Reddish,SF,13.57,10.35,2.13,-0.66,63.21,30.94,4.12,1.09,4900.0,361.09
45,Eric Paschall,PF,20.31,-3.92,4.98,2.52,74.68,39.43,3.07,6.06,4000.0,196.95
46,Kyle Kuzma,PF,29.29,18.08,12.73,1.43,111.28,52.63,24.14,2.58,5500.0,187.78
47,Joe Harris,SG,23.61,12.65,3.93,2.48,73.44,35.47,5.56,2.12,5800.0,245.66
48,Eric Gordon,SG,26.24,16.66,2.51,1.63,132.82,69.1,2.32,1.93,5200.0,198.17
49,Rajon Rondo,PG,12.92,8.77,3.66,6.95,255.48,34.1,9.12,13.3,3100.0,239.94
50,Brook Lopez,C,26.42,14.04,4.62,0.020000000000000018,80.31,56.95,6.78,4.12,5600.0,211.96
51,Kentavious Caldwell-Pope,SG,21.7,11.33,3.56,2.03,66.05,23.7,4.51,1.51,3900.0,179.72
52,P.J. Tucker,SF,22.39,7.91,6.42,1.58,75.94,18.17,13.67,2.1,4500.0,200.98
53,Marc Gasol,C,18.84,4.68,6.54,4.3,143.87,38.05,10.27,7.06,4100.0,217.62
54,Kent Bazemore,SG,24.61,11.83,3.66,3.09,86.27,28.64,6.06,3.3,3500.0,142.22
55,Reggie Bullock,SF,19.27,11.02,1.87,2.33,55.6,36.85,4.19,1.5,,
56,Thaddeus Young,PF,25.16,11.2,5.94,1.81,92.49,27.21,8.83,2.26,3800.0,151.03
57,Austin Rivers,SG,-8.7,-7.32,1.84,1.87,182.61,77.06,3.68,3.37,,
58,Garrett Temple,SF,21.36,9.86,4.19,2.32,96.76,37.53,5.67,2.81,4500.0,210.67
59,Kendrick Nunn,PG,25.8,13.66,3.38,4.29,256.48,95.3,4.16,7.49,3700.0,143.41
60,Markieff Morris,PF,19.43,9.91,4.82,0.91,128.55,47.23,8.32,1.59,3600.0,185.28
61,Wesley Matthews,SG,7.95,4.55,2.36,1.42,110.28,55.97,3.45,2.2,3000.0,377.36
