PLAYER  ,POS  ,DK_proj,Pts_proj,Reb_proj,Ast_proj,MSE_DK,MSE_Pts,MSE_Reb,MSE_Ast,Salary,Position,Cost_per_point,Points_Rank,Salary_Rank,Eligible
James Harden,SG,55.38,28.48,5.93,9.19,225.55,127.84,9.01,10.14,10800.0,PG/SG,195.02,1.0,3.0,True
Trae Young,PG,54.67,28.09,3.78,8.18,559.43,242.37,5.93,16.54,9600.0,PG,175.6,2.0,8.0,True
Jerami Grant,SF,54.28,39.269999999999996,2.94,0.74,164.32,79.97,6.39,2.55,8100.0,SF/PF,149.23,3.0,19.5,True
Zach LaVine,SG,53.26,21.48,3.38,3.92,272.98,125.64,5.75,5.93,9500.0,SG,178.37,4.0,9.0,True
Kevin Durant,SF,52.91,27.71,8.61,5.56,133.44,44.11,12.29,5.9,10700.0,SF/PF,202.23,5.0,4.0,True
Collin Sexton,PG,51.85,16.74,2.43,2.35,124.77,80.67,2.47,3.09,7300.0,PG/SG,140.79,6.0,33.5,True
Paul George,SF,51.64,30.91,7.43,3.82,164.67,73.49,8.54,6.04,9300.0,SG,180.09,7.0,11.0,True
Kawhi Leonard,SF,50.71,28.82,7.71,0.8899999999999997,103.98,44.78,10.74,9.79,9700.0,SF,191.28,8.0,7.0,True
Joel Embiid,C,50.46,23.85,14.0,3.49,274.19,103.13,34.28,4.26,10100.0,C,200.16,9.0,5.0,True
Nikola Vucevic,C,50.03,24.34,13.41,3.87,98.32,89.03,11.86,3.22,8900.0,C,177.89,10.0,14.0,True
Andre Drummond,C,48.62,17.57,17.01,1.07,195.59,46.25,22.22,3.69,9400.0,C,193.34,11.0,10.0,True
John Collins,PF,48.4,29.6,7.84,2.03,252.1,105.95,19.12,1.94,7400.0,PF/C,152.89,12.0,31.5,True
Devin Booker,SG,47.97,29.91,5.14,7.65,149.0,70.91,4.98,8.33,8000.0,SG,166.77,13.0,21.5,True
Cedi Osman,SF,46.55,25.98,3.91,1.83,147.83,58.68,6.17,4.98,6500.0,SF/PF,139.63,14.0,46.0,True
Nikola Jokic,C,46.38,19.02,10.09,6.33,218.09,70.9,13.42,12.18,11000.0,C,237.17,15.0,1.0,True
Blake Griffin,PF,45.62,25.02,7.44,6.63,222.2,93.65,12.11,6.01,6200.0,PF/C,135.91,16.0,51.5,True
Kyrie Irving,PG,45.5,22.82,4.77,9.31,193.39,83.42,7.58,11.25,9000.0,PG,197.8,17.0,13.0,True
Bam Adebayo,PF,45.41,15.620000000000001,9.19,7.46,282.4,78.43,21.55,12.88,8600.0,C,189.39,18.0,15.0,True
Domantas Sabonis,PF,44.01,28.22,8.73,4.67,195.36,67.71,21.1,11.01,9900.0,PF/C,224.95,19.5,6.0,True
Luka Doncic,SF,44.01,7.16,7.06,5.61,301.89,82.17,41.11,16.19,10900.0,PG,247.67,19.5,2.0,True
JaVale McGee,C,43.28,17.48,12.81,0.51,80.21,20.02,9.15,1.18,4000.0,C,92.42,21.0,121.0,False
Kyle Lowry,PG,41.84,20.03,4.95,7.6,103.75,52.35,6.89,7.02,7900.0,PG,188.81,22.0,24.0,True
Lauri Markkanen,PF,41.6,23.06,9.12,1.84,101.51,39.09,11.71,1.63,6600.0,PF,158.65,23.0,44.5,True
Julius Randle,PF,41.1,14.73,9.01,3.69,176.67,96.1,14.87,4.93,9100.0,PF/C,221.41,24.0,12.0,True
Buddy Hield,SG,40.9,17.57,5.03,4.25,175.34,65.99,5.18,6.91,6400.0,SG/SF,156.48,25.0,47.0,True
Dejounte Murray,PG,39.73,24.78,6.46,4.25,224.02,77.96,9.11,7.87,7400.0,PG,186.26,26.0,31.5,True
